time,equity,cash,realized_pnl_net,unrealized_pnl,fees,position,mark
2024-03-15T00:00:00.000000000Z,10000,10000,0,0,0,0,0
2024-03-15T00:01:00.000000000Z,10000,10000,0,0,0,0,3000
2024-03-15T00:02:00.000000000Z,10000,10000,0,0,0,0,3000.87
2024-03-15T00:03:00.000000000Z,10000,10000,0,0,0,0,3001.75
2024-03-15T00:04:00.000000000Z,10000,10000,0,0,0,0,3002.62
2024-03-15T00:05:00.000000000Z,10000,10000,0,0,0,0,3003.49
2024-03-15T00:06:00.000000000Z,10000,10000,0,0,0,0,3004.36
2024-03-15T00:07:00.000000000Z,10000,10000,0,0,0,0,3005.23
2024-03-15T00:08:00.000000000Z,10000,10000,0,0,0,0,3006.1
2024-03-15T00:09:00.000000000Z,10000,10000,0,0,0,0,3006.98
2024-03-15T00:10:00.000000000Z,10000,10000,0,0,0,0,3007.85
2024-03-15T00:11:00.000000000Z,10000,10000,0,0,0,0,3008.72
2024-03-15T00:12:00.000000000Z,10000,10000,0,0,0,0,3009.58
2024-03-15T00:13:00.000000000Z,10000,10000,0,0,0,0,3010.45
2024-03-15T00:14:00.000000000Z,10000,10000,0,0,0,0,3011.32
2024-03-15T00:15:00.000000000Z,10000,10000,0,0,0,0,3012.19
2024-03-15T00:16:00.000000000Z,9996.47644,6983.42644,-3.01356,-0.51,3.01356,1,3013.05
2024-03-15T00:17:00.000000000Z,9997.34644,6983.42644,-3.01356,0.36,3.01356,1,3013.92
2024-03-15T00:18:00.000000000Z,9998.20644,6983.42644,-3.01356,1.22,3.01356,1,3014.78
2024-03-15T00:19:00.000000000Z,9999.06644,6983.42644,-3.01356,2.08,3.01356,1,3015.64
2024-03-15T00:20:00.000000000Z,9999.92644,6983.42644,-3.01356,2.94,3.01356,1,3016.5
2024-03-15T00:21:00.000000000Z,10000.78644,6983.42644,-3.01356,3.8,3.01356,1,3017.36
2024-03-15T00:22:00.000000000Z,10001.64644,6983.42644,-3.01356,4.66,3.01356,1,3018.22
2024-03-15T00:23:00.000000000Z,10002.50644,6983.42644,-3.01356,5.52,3.01356,1,3019.08
2024-03-15T00:24:00.000000000Z,10003.36644,6983.42644,-3.01356,6.38,3.01356,1,3019.94
2024-03-15T00:25:00.000000000Z,10004.21644,6983.42644,-3.01356,7.23,3.01356,1,3020.79
2024-03-15T00:26:00.000000000Z,10005.06644,6983.42644,-3.01356,8.08,3.01356,1,3021.64
2024-03-15T00:27:00.000000000Z,10005.92644,6983.42644,-3.01356,8.94,3.01356,1,3022.5
2024-03-15T00:28:00.000000000Z,10006.76644,6983.42644,-3.01356,9.78,3.01356,1,3023.34
2024-03-15T00:29:00.000000000Z,10007.61644,6983.42644,-3.01356,10.63,3.01356,1,3024.19
2024-03-15T00:30:00.000000000Z,10008.46644,6983.42644,-3.01356,11.48,3.01356,1,3025.04
2024-03-15T00:31:00.000000000Z,10009.30644,6983.42644,-3.01356,12.32,3.01356,1,3025.88
2024-03-15T00:32:00.000000000Z,10010.14644,6983.42644,-3.01356,13.16,3.01356,1,3026.72
2024-03-15T00:33:00.000000000Z,10010.98644,6983.42644,-3.01356,14,3.01356,1,3027.56
2024-03-15T00:34:00.000000000Z,10011.82644,6983.42644,-3.01356,14.84,3.01356,1,3028.4
2024-03-15T00:35:00.000000000Z,10012.66644,6983.42644,-3.01356,15.68,3.01356,1,3029.24
2024-03-15T00:36:00.000000000Z,10013.49644,6983.42644,-3.01356,16.51,3.01356,1,3030.07
2024-03-15T00:37:00.000000000Z,10014.32644,6983.42644,-3.01356,17.34,3.01356,1,3030.9
2024-03-15T00:38:00.000000000Z,10015.15644,6983.42644,-3.01356,18.17,3.01356,1,3031.73
2024-03-15T00:39:00.000000000Z,10015.98644,6983.42644,-3.01356,19,3.01356,1,3032.56
2024-03-15T00:40:00.000000000Z,10016.80644,6983.42644,-3.01356,19.82,3.01356,1,3033.38
2024-03-15T00:41:00.000000000Z,10017.62644,6983.42644,-3.01356,20.64,3.01356,1,3034.2
2024-03-15T00:42:00.000000000Z,10018.44644,6983.42644,-3.01356,21.46,3.01356,1,3035.02
2024-03-15T00:43:00.000000000Z,10019.26644,6983.42644,-3.01356,22.28,3.01356,1,3035.84
2024-03-15T00:44:00.000000000Z,10020.07644,6983.42644,-3.01356,23.09,3.01356,1,3036.65
2024-03-15T00:45:00.000000000Z,10020.88644,6983.42644,-3.01356,23.9,3.01356,1,3037.46
2024-03-15T00:46:00.000000000Z,10021.69644,6983.42644,-3.01356,24.71,3.01356,1,3038.27
2024-03-15T00:47:00.000000000Z,10022.49644,6983.42644,-3.01356,25.51,3.01356,1,3039.07
2024-03-15T00:48:00.000000000Z,10023.29644,6983.42644,-3.01356,26.31,3.01356,1,3039.87
2024-03-15T00:49:00.000000000Z,10024.09644,6983.42644,-3.01356,27.11,3.01356,1,3040.67
2024-03-15T00:50:00.000000000Z,10024.89644,6983.42644,-3.01356,27.91,3.01356,1,3041.47
2024-03-15T00:51:00.000000000Z,10025.68644,6983.42644,-3.01356,28.7,3.01356,1,3042.26
2024-03-15T00:52:00.000000000Z,10026.47644,6983.42644,-3.01356,29.49,3.01356,1,3043.05
2024-03-15T00:53:00.000000000Z,10027.26644,6983.42644,-3.01356,30.28,3.01356,1,3043.84
2024-03-15T00:54:00.000000000Z,10028.04644,6983.42644,-3.01356,31.06,3.01356,1,3044.62
2024-03-15T00:55:00.000000000Z,10028.82644,6983.42644,-3.01356,31.84,3.01356,1,3045.4
2024-03-15T00:56:00.000000000Z,10029.59644,6983.42644,-3.01356,32.61,3.01356,1,3046.17
2024-03-15T00:57:00.000000000Z,10030.37644,6983.42644,-3.01356,33.39,3.01356,1,3046.95
2024-03-15T00:58:00.000000000Z,10031.14644,6983.42644,-3.01356,34.16,3.01356,1,3047.72
2024-03-15T00:59:00.000000000Z,10031.90644,6983.42644,-3.01356,34.92,3.01356,1,3048.48
2024-03-15T01:00:00.000000000Z,10032.66644,6983.42644,-3.01356,35.68,3.01356,1,3049.24
