time,equity,cash,realized_pnl_net,unrealized_pnl,fees,position,mark
2024-03-15T00:00:00.000000000Z,10000,10000,0,0,0,0,0
2024-03-15T00:01:00.000000000Z,10000,10000,0,0,0,0,3000
2024-03-15T00:02:00.000000000Z,10000,10000,0,0,0,0,3000.87
2024-03-15T00:03:00.000000000Z,10000,10000,0,0,0,0,3001.75
2024-03-15T00:04:00.000000000Z,10000,10000,0,0,0,0,3002.62
2024-03-15T00:05:00.000000000Z,10000,10000,0,0,0,0,3003.49
2024-03-15T00:06:00.000000000Z,10000,10000,0,0,0,0,3004.36
2024-03-15T00:07:00.000000000Z,10000,10000,0,0,0,0,3005.23
2024-03-15T00:08:00.000000000Z,10000,10000,0,0,0,0,3006.1
2024-03-15T00:09:00.000000000Z,10000,10000,0,0,0,0,3006.98
2024-03-15T00:10:00.000000000Z,10000,10000,0,0,0,0,3007.85
2024-03-15T00:11:00.000000000Z,10000,10000,0,0,0,0,3008.72
2024-03-15T00:12:00.000000000Z,10000,10000,0,0,0,0,3009.58
2024-03-15T00:13:00.000000000Z,10000,10000,0,0,0,0,3010.45
2024-03-15T00:14:00.000000000Z,10000,10000,0,0,0,0,3011.32
2024-03-15T00:15:00.000000000Z,10000,10000,0,0,0,0,3012.19
2024-03-15T00:16:00.000000000Z,10000,10000,0,0,0,0,3013.05
2024-03-15T00:17:00.000000000Z,10000,10000,0,0,0,0,3013.92
2024-03-15T00:18:00.000000000Z,10000,10000,0,0,0,0,3014.78
2024-03-15T00:19:00.000000000Z,10000,10000,0,0,0,0,3015.64
2024-03-15T00:20:00.000000000Z,10000,10000,0,0,0,0,3016.5
2024-03-15T00:21:00.000000000Z,10000,10000,0,0,0,0,3017.36
2024-03-15T00:22:00.000000000Z,10000,10000,0,0,0,0,3018.22
2024-03-15T00:23:00.000000000Z,10000,10000,0,0,0,0,3019.08
2024-03-15T00:24:00.000000000Z,10000,10000,0,0,0,0,3019.94
2024-03-15T00:25:00.000000000Z,10000,10000,0,0,0,0,3020.79
2024-03-15T00:26:00.000000000Z,10000,10000,0,0,0,0,3021.64
2024-03-15T00:27:00.000000000Z,10000,10000,0,0,0,0,3022.5
2024-03-15T00:28:00.000000000Z,10000,10000,0,0,0,0,3023.34
2024-03-15T00:29:00.000000000Z,10000,10000,0,0,0,0,3024.19
2024-03-15T00:30:00.000000000Z,10000,10000,0,0,0,0,3025.04
2024-03-15T00:31:00.000000000Z,10000,10000,0,0,0,0,3025.88
2024-03-15T00:32:00.000000000Z,10000,10000,0,0,0,0,3026.72
2024-03-15T00:33:00.000000000Z,10000,10000,0,0,0,0,3027.56
2024-03-15T00:34:00.000000000Z,10000,10000,0,0,0,0,3028.4
2024-03-15T00:35:00.000000000Z,10000,10000,0,0,0,0,3029.24
2024-03-15T00:36:00.000000000Z,10000,10000,0,0,0,0,3030.07
2024-03-15T00:37:00.000000000Z,10000,10000,0,0,0,0,3030.9
2024-03-15T00:38:00.000000000Z,10000,10000,0,0,0,0,3031.73
2024-03-15T00:39:00.000000000Z,10000,10000,0,0,0,0,3032.56
2024-03-15T00:40:00.000000000Z,10000,10000,0,0,0,0,3033.38
2024-03-15T00:41:00.000000000Z,10000,10000,0,0,0,0,3034.2
2024-03-15T00:42:00.000000000Z,10000,10000,0,0,0,0,3035.02
2024-03-15T00:43:00.000000000Z,10000,10000,0,0,0,0,3035.84
2024-03-15T00:44:00.000000000Z,10000,10000,0,0,0,0,3036.65
2024-03-15T00:45:00.000000000Z,10000,10000,0,0,0,0,3037.46
2024-03-15T00:46:00.000000000Z,10000,10000,0,0,0,0,3038.27
2024-03-15T00:47:00.000000000Z,10000,10000,0,0,0,0,3039.07
2024-03-15T00:48:00.000000000Z,10000,10000,0,0,0,0,3039.87
2024-03-15T00:49:00.000000000Z,10000,10000,0,0,0,0,3040.67
2024-03-15T00:50:00.000000000Z,10000,10000,0,0,0,0,3041.47
2024-03-15T00:51:00.000000000Z,10000,10000,0,0,0,0,3042.26
2024-03-15T00:52:00.000000000Z,10000,10000,0,0,0,0,3043.05
2024-03-15T00:53:00.000000000Z,10000,10000,0,0,0,0,3043.84
2024-03-15T00:54:00.000000000Z,10000,10000,0,0,0,0,3044.62
2024-03-15T00:55:00.000000000Z,10000,10000,0,0,0,0,3045.4
2024-03-15T00:56:00.000000000Z,10000,10000,0,0,0,0,3046.17
2024-03-15T00:57:00.000000000Z,10000,10000,0,0,0,0,3046.95
2024-03-15T00:58:00.000000000Z,10000,10000,0,0,0,0,3047.72
2024-03-15T00:59:00.000000000Z,10000,10000,0,0,0,0,3048.48
2024-03-15T01:00:00.000000000Z,10000,10000,0,0,0,0,3049.24
2024-03-15T01:01:00.000000000Z,10000,10000,0,0,0,0,3050
2024-03-15T01:02:00.000000000Z,10000,10000,0,0,0,0,3050.75
2024-03-15T01:03:00.000000000Z,10000,10000,0,0,0,0,3051.5
2024-03-15T01:04:00.000000000Z,10000,10000,0,0,0,0,3052.25
2024-03-15T01:05:00.000000000Z,10000,10000,0,0,0,0,3052.99
2024-03-15T01:06:00.000000000Z,10000,10000,0,0,0,0,3053.73
2024-03-15T01:07:00.000000000Z,10000,10000,0,0,0,0,3054.46
2024-03-15T01:08:00.000000000Z,10000,10000,0,0,0,0,3055.19
2024-03-15T01:09:00.000000000Z,10000,10000,0,0,0,0,3055.92
2024-03-15T01:10:00.000000000Z,10000,10000,0,0,0,0,3056.64
2024-03-15T01:11:00.000000000Z,10000,10000,0,0,0,0,3057.36
2024-03-15T01:12:00.000000000Z,10000,10000,0,0,0,0,3058.07
2024-03-15T01:13:00.000000000Z,10000,10000,0,0,0,0,3058.78
2024-03-15T01:14:00.000000000Z,10000,10000,0,0,0,0,3059.48
2024-03-15T01:15:00.000000000Z,10000,10000,0,0,0,0,3060.18
2024-03-15T01:16:00.000000000Z,10000,10000,0,0,0,0,3060.88
2024-03-15T01:17:00.000000000Z,10000,10000,0,0,0,0,3061.57
2024-03-15T01:18:00.000000000Z,10000,10000,0,0,0,0,3062.25
